O*NET-SOC Code,Title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma
11-1011.00,Chief Executives,0.1,0.46,0.8200000000000001,0.18,0.35,0.52
11-1011.03,Chief Sustainability Officers,0.1666666666666666,0.5555555555555556,0.9444444444444444,0.0555555555555555,0.3888888888888888,0.7222222222222222
11-1021.00,General and Operations Managers,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539
11-1031.00,Legislators,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666
11-2011.00,Advertising and Promotions Managers,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813
11-2021.00,Marketing Managers,0.0625,0.5,0.9375,0.21875,0.578125,0.9375
11-2022.00,Sales Managers,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667
11-2032.00,Public Relations Managers,0.15,0.55,0.95,0.25,0.5750000000000001,0.9
11-2033.00,Fundraising Managers,0.125,0.5625,1.0,0.25,0.5,0.75
11-3012.00,Administrative Services Managers,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086
11-3013.00,Facilities Managers,0.0,0.3181818181818182,0.6363636363636364,0.0909090909090909,0.2727272727272727,0.4545454545454546
11-3013.01,Security Managers,0.0714285714285714,0.4821428571428571,0.8928571428571428,0.25,0.5357142857142857,0.8214285714285714
11-3021.00,Computer and Information Systems Managers,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182
11-3031.00,Financial Managers,0.0,0.4814814814814814,0.9629629629629628,0.037037037037037,0.4259259259259259,0.8148148148148148
11-3031.01,Treasurers and Controllers,0.0,0.4736842105263157,0.9473684210526316,0.1578947368421052,0.4078947368421052,0.6578947368421052
11-3031.03,Investment Fund Managers,0.0,0.5,1.0,0.1714285714285714,0.5285714285714286,0.8857142857142857
11-3051.00,Industrial Production Managers,0.0606060606060606,0.4848484848484848,0.9090909090909092,0.1515151515151515,0.3484848484848485,0.5454545454545454
11-3051.01,Quality Control Systems Managers,0.0754716981132075,0.5094339622641509,0.9433962264150944,0.1886792452830188,0.4716981132075472,0.7547169811320754
11-3051.02,Geothermal Production Managers,0.2,0.4833333333333333,0.7666666666666666,0.1333333333333333,0.3833333333333333,0.6333333333333333
11-3051.03,Biofuels Production Managers,0.0,0.2857142857142857,0.5714285714285714,0.0714285714285714,0.1785714285714285,0.2857142857142857
11-3051.04,Biomass Power Plant Managers,0.03125,0.328125,0.625,0.125,0.28125,0.4375
