gate,scope,observed,threshold,gated,passed
G1,2003 construction and extraction occupations,1.3045139823142371e-05,0.01,True,True
G1,"2003 farming, fishing, and forestry occupations",8.623289410980561e-06,0.01,True,True
G1,"2003 installation, maintenance, and repair occupations",2.8024417297656257e-05,0.01,True,True
G1,"2003 management, business, and financial operations occupations",4.117937140835082e-06,0.01,True,True
G1,2003 office and administrative support occupations,2.034090608615813e-06,0.01,True,True
G1,2003 production occupations,1.3065544911761151e-05,0.01,True,True
G1,2003 professional and related occupations,1.0676690143096579e-07,0.01,True,True
G1,2003 sales and related occupations,2.6728739930259593e-06,0.01,True,True
G1,2003 service occupations,7.031041391325488e-06,0.01,True,True
G1,2003 transportation and material moving occupations,9.614790665080086e-06,0.01,True,True
G1,2004 construction and extraction occupations,2.158786767592069e-05,0.01,True,True
G1,"2004 farming, fishing, and forestry occupations",6.073587953214776e-05,0.01,True,True
G1,"2004 installation, maintenance, and repair occupations",1.4729081255326903e-05,0.01,True,True
G1,"2004 management, business, and financial operations occupations",2.8981154684970534e-06,0.01,True,True
G1,2004 office and administrative support occupations,1.020486628089401e-06,0.01,True,True
G1,2004 production occupations,1.3573625018636903e-05,0.01,True,True
G1,2004 professional and related occupations,1.6010642989172652e-07,0.01,True,True
G1,2004 sales and related occupations,2.030965552179964e-06,0.01,True,True
G1,2004 service occupations,1.7195971273586963e-06,0.01,True,True
G1,2004 transportation and material moving occupations,2.0797480764667142e-05,0.01,True,True
G1,2005 construction and extraction occupations,3.33637109184437e-06,0.01,True,True
G1,"2005 farming, fishing, and forestry occupations",8.274735853874837e-05,0.01,True,True
G1,"2005 installation, maintenance, and repair occupations",9.288987036892848e-06,0.01,True,True
G1,"2005 management, business, and financial operations occupations",2.623207729257615e-06,0.01,True,True
G1,2005 office and administrative support occupations,4.389428025497466e-06,0.01,True,True
G1,2005 production occupations,2.5394829914482386e-06,0.01,True,True
G1,2005 professional and related occupations,5.049617268770845e-08,0.01,True,True
G1,2005 sales and related occupations,5.601293110113481e-06,0.01,True,True
G1,2005 service occupations,9.329302295135733e-07,0.01,True,True
G1,2005 transportation and material moving occupations,2.418175347462803e-05,0.01,True,True
G1,2006 construction and extraction occupations,2.0448786045568212e-06,0.01,True,True
G1,"2006 farming, fishing, and forestry occupations",6.719295310753104e-05,0.01,True,True
G1,"2006 installation, maintenance, and repair occupations",1.100844433388204e-05,0.01,True,True
G1,"2006 management, business, and financial operations occupations",5.393495009498039e-06,0.01,True,True
G1,2006 office and administrative support occupations,1.1372543239351884e-06,0.01,True,True
G1,2006 production occupations,1.5223667140462638e-05,0.01,True,True
G1,2006 professional and related occupations,2.931759962798708e-06,0.01,True,True
G1,2006 sales and related occupations,4.507299705247547e-06,0.01,True,True
G1,2006 service occupations,2.7440021976854467e-06,0.01,True,True
G1,2006 transportation and material moving occupations,9.118773081073783e-07,0.01,True,True
G1,2007 construction and extraction occupations,3.358510025641692e-07,0.01,True,True
G1,"2007 farming, fishing, and forestry occupations",9.133705182740037e-05,0.01,True,True
G1,"2007 installation, maintenance, and repair occupations",1.2575743950637985e-05,0.01,True,True
G1,"2007 management, business, and financial operations occupations",5.74473697612099e-07,0.01,True,True
G1,2007 office and administrative support occupations,1.3580590196848874e-06,0.01,True,True
G1,2007 production occupations,7.453455203476622e-06,0.01,True,True
G1,2007 professional and related occupations,5.561298224043831e-06,0.01,True,True
G1,2007 sales and related occupations,5.510571073674697e-06,0.01,True,True
G1,2007 service occupations,1.2394328172682378e-06,0.01,True,True
G1,2007 transportation and material moving occupations,3.1556255104536746e-06,0.01,True,True
G1,2008 construction and extraction occupations,3.360545395070247e-06,0.01,True,True
G1,"2008 farming, fishing, and forestry occupations",0.00013822346990377543,0.01,True,True
G1,"2008 installation, maintenance, and repair occupations",3.91747549266519e-06,0.01,True,True
G1,"2008 management, business, and financial operations occupations",1.8650557029875614e-06,0.01,True,True
G1,2008 office and administrative support occupations,1.3350202809903067e-07,0.01,True,True
G1,2008 production occupations,3.6531203567724546e-06,0.01,True,True
G1,2008 professional and related occupations,1.673277202685064e-06,0.01,True,True
G1,2008 sales and related occupations,2.768441266898236e-06,0.01,True,True
G1,2008 service occupations,1.1822499341729298e-06,0.01,True,True
G1,2008 transportation and material moving occupations,2.665398415313547e-07,0.01,True,True
G1,2009 construction and extraction occupations,5.073866093274759e-06,0.01,True,True
G1,"2009 farming, fishing, and forestry occupations",1.7745524871992657e-05,0.01,True,True
G1,"2009 installation, maintenance, and repair occupations",1.4537889180377128e-05,0.01,True,True
G1,"2009 management, business, and financial operations occupations",1.2831548266145631e-06,0.01,True,True
G1,2009 office and administrative support occupations,6.912069290265777e-07,0.01,True,True
G1,2009 production occupations,2.826284214774155e-06,0.01,True,True
