coding_block,occ1990dd,census_code,employed_thousands
2003_2010,4,10,13091.620924366669
2003_2010,7,120,8890.833112208333
2003_2010,8,130,2175.3161519916666
2003_2010,13,40,591.540508475
2003_2010,13,50,7050.189380933334
2003_2010,13,60,484.0916737416666
2003_2010,13,2820,1108.3642352416666
2003_2010,14,230,6392.852699441667
2003_2010,15,350,4153.2987119750005
2003_2010,18,410,4753.6419183
2003_2010,19,320,370.33623895
2003_2010,22,20,7339.375081708334
2003_2010,22,100,755.9880572083333
2003_2010,22,110,3385.1662356083334
2003_2010,22,140,2165.1792916
2003_2010,22,220,8028.917679883332
2003_2010,22,300,843.5331452333332
2003_2010,22,310,7630.662865808333
2003_2010,22,330,112.43952900833332
2003_2010,22,340,1279.1342868499999
2003_2010,22,360,101.27924455833333
2003_2010,22,420,2549.9174591416663
2003_2010,22,430,27379.34357065
2003_2010,22,600,872.7294999583333
2003_2010,22,720,355.92893122500004
2003_2010,22,4300,1109.4893401083334
2003_2010,23,800,13802.609841183334
2003_2010,23,930,563.3669745166667
2003_2010,24,860,799.13632785
2003_2010,25,820,441.5696893416667
2003_2010,25,830,227.99920989999998
2003_2010,25,840,720.5340913416667
2003_2010,25,850,2990.9911470666666
2003_2010,25,910,3317.3270044250003
2003_2010,25,940,787.1366458583333
2003_2010,25,950,417.239682375
2003_2010,26,710,4886.551648158334
2003_2010,27,620,6075.124198558335
2003_2010,28,510,84.02072871666667
2003_2010,29,520,1599.8729234
2003_2010,33,150,1449.2429891083334
2003_2010,33,530,2110.2937078833334
2003_2010,34,500,349.97433160833333
2003_2010,35,6660,812.5829650999999
2003_2010,36,560,1248.0267524666667
2003_2010,36,900,68.31845636666667
2003_2010,37,730,1892.5262444
2003_2010,43,1300,1704.2054183499997
2003_2010,44,1320,917.9824882666667
2003_2010,45,1450,290.94767232500004
2003_2010,47,1520,160.22614276666667
2003_2010,48,1350,531.3446241583332
2003_2010,53,1360,2581.1348774083335
2003_2010,55,1400,635.0578238249999
2003_2010,55,1410,2759.8741279166666
2003_2010,56,1430,1401.7987295666667
2003_2010,57,1460,2446.6538433916667
2003_2010,59,1330,23.071131358333332
