year,cps_group,employed_thousands
1983,construction and extraction occupations,6462.75
1983,"farming, fishing, and forestry occupations",1125.9166666666667
1983,"installation, maintenance, and repair occupations",3874.3333333333335
1983,"management, business, and financial operations occupations",12191.583333333334
1983,office and administrative support occupations,16376.75
1983,production occupations,9305.666666666666
1983,professional and related occupations,16968.333333333332
1983,sales and related occupations,11386.25
1983,service occupations,16039.0
1983,transportation and material moving occupations,7344.416666666667
1984,construction and extraction occupations,6805.583333333333
1984,"farming, fishing, and forestry occupations",1105.9166666666667
1984,"installation, maintenance, and repair occupations",4077.8333333333335
1984,"management, business, and financial operations occupations",12838.166666666666
1984,office and administrative support occupations,16824.416666666668
1984,production occupations,9762.75
1984,professional and related occupations,17584.666666666668
1984,sales and related occupations,12112.75
1984,service occupations,16407.666666666668
1984,transportation and material moving occupations,7708.083333333333
1985,construction and extraction occupations,6938.5
1985,"farming, fishing, and forestry occupations",1065.0833333333333
1985,"installation, maintenance, and repair occupations",4170.583333333333
1985,"management, business, and financial operations occupations",13267.416666666666
1985,office and administrative support occupations,17451.25
1985,production occupations,9796.833333333334
1985,professional and related occupations,18064.583333333332
1985,sales and related occupations,12196.5
1985,service occupations,16599.25
1985,transportation and material moving occupations,7722.083333333333
1986,construction and extraction occupations,7000.083333333333
1986,"farming, fishing, and forestry occupations",1064.25
1986,"installation, maintenance, and repair occupations",4201.583333333333
1986,"management, business, and financial operations occupations",13640.666666666666
1986,office and administrative support occupations,17931.0
1986,production occupations,9955.416666666666
1986,professional and related occupations,18465.5
1986,sales and related occupations,12725.75
1986,service occupations,16836.833333333332
1986,transportation and material moving occupations,7877.166666666667
1987,construction and extraction occupations,7088.583333333333
1987,"farming, fishing, and forestry occupations",1086.0833333333333
1987,"installation, maintenance, and repair occupations",4251.083333333333
1987,"management, business, and financial operations occupations",14221.5
1987,office and administrative support occupations,18446.25
1987,production occupations,10144.083333333334
1987,professional and related occupations,19002.583333333332
1987,sales and related occupations,12975.583333333334
1987,service occupations,17266.833333333332
1987,transportation and material moving occupations,8008.75
1988,construction and extraction occupations,7151.916666666667
1988,"farming, fishing, and forestry occupations",1067.5833333333333
1988,"installation, maintenance, and repair occupations",4281.416666666667
1988,"management, business, and financial operations occupations",14889.0
1988,office and administrative support occupations,18598.75
1988,production occupations,10319.333333333334
1988,professional and related occupations,19716.25
1988,sales and related occupations,13253.0
1988,service occupations,17545.583333333332
1988,transportation and material moving occupations,8180.083333333333
1989,construction and extraction occupations,7243.75
1989,"farming, fishing, and forestry occupations",1068.6666666666667
1989,"installation, maintenance, and repair occupations",4342.25
1989,"management, business, and financial operations occupations",15383.166666666666
1989,office and administrative support occupations,18900.25
1989,production occupations,10459.0
1989,professional and related occupations,20407.0
1989,sales and related occupations,13559.083333333334
1989,service occupations,17775.083333333332
1989,transportation and material moving occupations,8261.583333333334
1990,construction and extraction occupations,7239.833333333333
1990,"farming, fishing, and forestry occupations",1076.5
1990,"installation, maintenance, and repair occupations",4337.333333333333
1990,"management, business, and financial operations occupations",15406.5
1990,office and administrative support occupations,19159.916666666668
1990,production occupations,10424.166666666666
1990,professional and related occupations,20814.25
1990,sales and related occupations,13735.916666666666
1990,service occupations,18272.833333333332
1990,transportation and material moving occupations,8313.166666666666
1991,construction and extraction occupations,6987.25
1991,"farming, fishing, and forestry occupations",1090.0
1991,"installation, maintenance, and repair occupations",4185.666666666667
1991,"management, business, and financial operations occupations",15447.083333333334
1991,office and administrative support occupations,18905.5
1991,production occupations,10081.666666666666
1991,professional and related occupations,20955.083333333332
1991,sales and related occupations,13525.083333333334
1991,service occupations,18488.0
1991,transportation and material moving occupations,8062.5
1992,construction and extraction occupations,6961.166666666667
1992,"farming, fishing, and forestry occupations",1091.0833333333333
1992,"installation, maintenance, and repair occupations",4188.75
1992,"management, business, and financial operations occupations",15335.083333333334
1992,office and administrative support occupations,19142.666666666668
1992,production occupations,10006.0
1992,professional and related occupations,21646.666666666668
1992,sales and related occupations,13522.416666666666
1992,service occupations,18627.75
1992,transportation and material moving occupations,8001.25
1993,construction and extraction occupations,7077.166666666667
1993,"farming, fishing, and forestry occupations",1056.5
1993,"installation, maintenance, and repair occupations",4252.583333333333
