gate,scope,observed,threshold,gated,passed
G3,2008 construction and extraction occupations,0.0020926738532109812,0.03,True,True
G3,"2008 farming, fishing, and forestry occupations",0.005812000000000002,0.03,True,True
G3,"2008 installation, maintenance, and repair occupations",0.0018940909090910648,0.029999999999999995,True,True
G3,"2008 management, business, and financial operations occupations",0.0006190123966941301,0.03,True,True
G3,2008 office and administrative support occupations,0.000364890069686392,0.03,True,True
G3,2008 production occupations,4.427238805970237e-05,0.029999999999999995,True,True
G3,2008 professional and related occupations,0.00035531162361613294,0.029999999999999995,True,True
G3,2008 sales and related occupations,0.0010742024213074286,0.029999999999999995,True,True
G3,2008 service occupations,0.0011356457680251446,0.030000000000000002,True,True
G3,2008 transportation and material moving occupations,0.0007157666666666089,0.03,True,True
G3,2010 construction and extraction occupations,4.6696912751647554e-05,0.029999999999999995,True,True
G3,"2010 farming, fishing, and forestry occupations",0.014837969230769205,0.030000000000000002,True,True
G3,"2010 installation, maintenance, and repair occupations",0.000835705993690774,0.03,True,True
G3,"2010 management, business, and financial operations occupations",6.935674499570028e-05,0.03,True,True
G3,2010 office and administrative support occupations,0.00032564496644284447,0.03,True,True
G3,2010 production occupations,0.0003506873997708683,0.03,True,True
G3,2010 professional and related occupations,0.00023479543568464485,0.03,True,True
G3,2010 sales and related occupations,0.0003051980740740503,0.03,True,True
G3,2010 service occupations,0.0005951115044247439,0.03,True,True
G3,2010 transportation and material moving occupations,0.0007770104330707832,0.03,True,True
G3,2012 construction and extraction occupations,0.00015022945736440087,0.03,True,True
G3,"2012 farming, fishing, and forestry occupations",0.0004465199999999688,0.029999999999999995,True,True
G3,"2012 installation, maintenance, and repair occupations",0.0010315760330578576,0.03,True,True
G3,"2012 management, business, and financial operations occupations",0.0004644451950522085,0.03,True,True
G3,2012 office and administrative support occupations,0.0004329191897654845,0.03,True,True
G3,2012 production occupations,0.0005867978260869999,0.03,True,True
G3,2012 professional and related occupations,0.0002239125523012489,0.03,True,True
G3,2012 sales and related occupations,0.0005604049599998689,0.03,True,True
G3,2012 service occupations,0.0002199381342062268,0.03,True,True
G3,2012 transportation and material moving occupations,0.00041931776155714503,0.03,True,True
G3,2014 construction and extraction occupations,1.5580373831786727e-05,0.029999999999999995,True,True
G3,"2014 farming, fishing, and forestry occupations",0.00849935925925933,0.03,True,True
G3,"2014 installation, maintenance, and repair occupations",0.00043050529801338814,0.030000000000000002,True,True
G3,"2014 management, business, and financial operations occupations",0.0004908518684604972,0.03,True,True
G3,2014 office and administrative support occupations,0.00045013879443581324,0.03,True,True
G3,2014 production occupations,0.00010660386363642002,0.03,True,True
G3,2014 professional and related occupations,0.00026546030729837004,0.03,True,True
G3,2014 sales and related occupations,0.000252529901960857,0.03,True,True
G3,2014 service occupations,0.0006876126679461412,0.03,True,True
G3,2014 transportation and material moving occupations,0.0006042053061225154,0.03,True,True
G3,2016 construction and extraction occupations,0.00031756424870461837,0.03,True,True
G3,"2016 farming, fishing, and forestry occupations",0.04815202499999993,0.0625,True,True
G3,"2016 installation, maintenance, and repair occupations",0.0016086852941176808,0.03,True,True
G3,"2016 management, business, and financial operations occupations",0.00012683988603984784,0.03,True,True
G3,2016 office and administrative support occupations,0.0007340016701461521,0.03,True,True
G3,2016 production occupations,0.0010909560975610095,0.03,True,True
G3,2016 professional and related occupations,0.0007305729096989797,0.029999999999999995,True,True
G3,2016 sales and related occupations,0.0013918623529412893,0.03,True,True
G3,2016 service occupations,0.0010398578274759802,0.029999999999999995,True,True
G3,2016 transportation and material moving occupations,0.0018260561403509621,0.03,True,True
G3,2018 construction and extraction occupations,0.0003914473372781325,0.029999999999999995,True,True
G3,"2018 farming, fishing, and forestry occupations",0.002151420588235286,0.03,True,True
G3,"2018 installation, maintenance, and repair occupations",0.0008383954545454486,0.029999999999999995,True,True
G3,"2018 management, business, and financial operations occupations",0.00033210434782614907,0.029999999999999995,True,True
G3,2018 office and administrative support occupations,0.0010872973509933638,0.03,True,True
G3,2018 production occupations,0.0018295650406504199,0.03,True,True
G3,2018 professional and related occupations,0.0004740374311927345,0.029999999999999995,True,True
G3,2018 sales and related occupations,0.0005246962099126387,0.03,True,True
G3,2018 service occupations,0.0015981102389077669,0.029999999999999995,True,True
G3,2018 transportation and material moving occupations,0.001607077380952438,0.03,True,True
