survey_year,period_start_year,period_end_year,period_years,source_table,group_name,soc_majors,displaced_thousands,reason,tenure_class,measurement_basis,source,mlr_occupation,displacement_rate_percent
1983,1981,1982,2,mlr_table_2_occupation,construction and extraction occupations,47,,all,long_tenured,rate_percent,mlr_article,Construction trades,5.3
1983,1981,1982,2,mlr_table_2_occupation,"farming, fishing, and forestry occupations",45,,all,long_tenured,rate_percent,mlr_article,"Farming, forestry, and fishing",0.9
1983,1981,1982,2,mlr_table_2_occupation,"installation, maintenance, and repair occupations",49,,all,long_tenured,rate_percent,mlr_article,Mechanics and repairers,4.8
1983,1981,1982,2,mlr_table_2_occupation,"management, business, and financial operations occupations",11|13,,all,long_tenured,rate_percent,mlr_article,"Executive, administrative, and managerial",2.5
1983,1981,1982,2,mlr_table_2_occupation,office and administrative support occupations,43,,all,long_tenured,rate_percent,mlr_article,"Administrative support, including clerical",2.5
1983,1981,1982,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,Other precision production occupations,8.5
1983,1981,1982,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,"Machine operators, assemblers, and inspectors",9.6
1983,1981,1982,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Professional specialty,1.7
1983,1981,1982,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Technicians and related support,3.3
1983,1981,1982,2,mlr_table_2_occupation,sales and related occupations,41,,all,long_tenured,rate_percent,mlr_article,Sales occupations,3.7
1983,1981,1982,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Protective services,1.3
1983,1981,1982,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Other service occupations,2.1
1983,1981,1982,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,Transportation and material-moving occupations,5.7
1983,1981,1982,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,"Handlers, equipment cleaners, helpers, and laborers",8.0
1985,1983,1984,2,mlr_table_2_occupation,construction and extraction occupations,47,,all,long_tenured,rate_percent,mlr_article,Construction trades,4.0
1985,1983,1984,2,mlr_table_2_occupation,"farming, fishing, and forestry occupations",45,,all,long_tenured,rate_percent,mlr_article,"Farming, forestry, and fishing",2.1
1985,1983,1984,2,mlr_table_2_occupation,"installation, maintenance, and repair occupations",49,,all,long_tenured,rate_percent,mlr_article,Mechanics and repairers,3.8
1985,1983,1984,2,mlr_table_2_occupation,"management, business, and financial operations occupations",11|13,,all,long_tenured,rate_percent,mlr_article,"Executive, administrative, and managerial",2.4
1985,1983,1984,2,mlr_table_2_occupation,office and administrative support occupations,43,,all,long_tenured,rate_percent,mlr_article,"Administrative support, including clerical",2.0
1985,1983,1984,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,Other precision production occupations,5.6
1985,1983,1984,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,"Machine operators, assemblers, and inspectors",8.1
1985,1983,1984,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Professional specialty,1.2
1985,1983,1984,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Technicians and related support,2.9
1985,1983,1984,2,mlr_table_2_occupation,sales and related occupations,41,,all,long_tenured,rate_percent,mlr_article,Sales occupations,2.8
1985,1983,1984,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Protective services,1.9
1985,1983,1984,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Other service occupations,1.7
1985,1983,1984,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,Transportation and material-moving occupations,3.7
1985,1983,1984,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,"Handlers, equipment cleaners, helpers, and laborers",7.6
1987,1985,1986,2,mlr_table_2_occupation,construction and extraction occupations,47,,all,long_tenured,rate_percent,mlr_article,Construction trades,4.1
1987,1985,1986,2,mlr_table_2_occupation,"farming, fishing, and forestry occupations",45,,all,long_tenured,rate_percent,mlr_article,"Farming, forestry, and fishing",1.6
1987,1985,1986,2,mlr_table_2_occupation,"installation, maintenance, and repair occupations",49,,all,long_tenured,rate_percent,mlr_article,Mechanics and repairers,2.1
1987,1985,1986,2,mlr_table_2_occupation,"management, business, and financial operations occupations",11|13,,all,long_tenured,rate_percent,mlr_article,"Executive, administrative, and managerial",2.8
1987,1985,1986,2,mlr_table_2_occupation,office and administrative support occupations,43,,all,long_tenured,rate_percent,mlr_article,"Administrative support, including clerical",3.1
1987,1985,1986,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,Other precision production occupations,5.5
1987,1985,1986,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,"Machine operators, assemblers, and inspectors",5.9
1987,1985,1986,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Professional specialty,1.4
1987,1985,1986,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Technicians and related support,3.0
1987,1985,1986,2,mlr_table_2_occupation,sales and related occupations,41,,all,long_tenured,rate_percent,mlr_article,Sales occupations,3.2
1987,1985,1986,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Protective services,0.5
1987,1985,1986,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Other service occupations,2.2
1987,1985,1986,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,Transportation and material-moving occupations,4.8
1987,1985,1986,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,"Handlers, equipment cleaners, helpers, and laborers",5.2
1989,1987,1988,2,mlr_table_2_occupation,construction and extraction occupations,47,,all,long_tenured,rate_percent,mlr_article,Construction trades,2.4
1989,1987,1988,2,mlr_table_2_occupation,"farming, fishing, and forestry occupations",45,,all,long_tenured,rate_percent,mlr_article,"Farming, forestry, and fishing",0.8
1989,1987,1988,2,mlr_table_2_occupation,"installation, maintenance, and repair occupations",49,,all,long_tenured,rate_percent,mlr_article,Mechanics and repairers,2.1
1989,1987,1988,2,mlr_table_2_occupation,"management, business, and financial operations occupations",11|13,,all,long_tenured,rate_percent,mlr_article,"Executive, administrative, and managerial",2.5
1989,1987,1988,2,mlr_table_2_occupation,office and administrative support occupations,43,,all,long_tenured,rate_percent,mlr_article,"Administrative support, including clerical",2.4
1989,1987,1988,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,Other precision production occupations,3.7
1989,1987,1988,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,"Machine operators, assemblers, and inspectors",4.5
1989,1987,1988,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Professional specialty,1.1
1989,1987,1988,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Technicians and related support,2.2
1989,1987,1988,2,mlr_table_2_occupation,sales and related occupations,41,,all,long_tenured,rate_percent,mlr_article,Sales occupations,2.7
1989,1987,1988,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Protective services,0.6
1989,1987,1988,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Other service occupations,1.6
1989,1987,1988,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,Transportation and material-moving occupations,3.1
1989,1987,1988,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,"Handlers, equipment cleaners, helpers, and laborers",3.0
1991,1989,1990,2,mlr_table_2_occupation,construction and extraction occupations,47,,all,long_tenured,rate_percent,mlr_article,Construction trades,4.2
1991,1989,1990,2,mlr_table_2_occupation,"farming, fishing, and forestry occupations",45,,all,long_tenured,rate_percent,mlr_article,"Farming, forestry, and fishing",1.5
1991,1989,1990,2,mlr_table_2_occupation,"installation, maintenance, and repair occupations",49,,all,long_tenured,rate_percent,mlr_article,Mechanics and repairers,3.4
1991,1989,1990,2,mlr_table_2_occupation,"management, business, and financial operations occupations",11|13,,all,long_tenured,rate_percent,mlr_article,"Executive, administrative, and managerial",3.4
1991,1989,1990,2,mlr_table_2_occupation,office and administrative support occupations,43,,all,long_tenured,rate_percent,mlr_article,"Administrative support, including clerical",3.2
1991,1989,1990,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,Other precision production occupations,5.1
1991,1989,1990,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,"Machine operators, assemblers, and inspectors",6.2
1991,1989,1990,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Professional specialty,1.3
1991,1989,1990,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Technicians and related support,3.2
1991,1989,1990,2,mlr_table_2_occupation,sales and related occupations,41,,all,long_tenured,rate_percent,mlr_article,Sales occupations,2.9
1991,1989,1990,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Protective services,1.2
1991,1989,1990,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Other service occupations,1.7
1991,1989,1990,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,Transportation and material-moving occupations,3.6
1991,1989,1990,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,"Handlers, equipment cleaners, helpers, and laborers",3.0
1993,1991,1992,2,mlr_table_2_occupation,construction and extraction occupations,47,,all,long_tenured,rate_percent,mlr_article,Construction trades,5.5
1993,1991,1992,2,mlr_table_2_occupation,"farming, fishing, and forestry occupations",45,,all,long_tenured,rate_percent,mlr_article,"Farming, forestry, and fishing",1.4
1993,1991,1992,2,mlr_table_2_occupation,"installation, maintenance, and repair occupations",49,,all,long_tenured,rate_percent,mlr_article,Mechanics and repairers,3.7
1993,1991,1992,2,mlr_table_2_occupation,"management, business, and financial operations occupations",11|13,,all,long_tenured,rate_percent,mlr_article,"Executive, administrative, and managerial",4.8
1993,1991,1992,2,mlr_table_2_occupation,office and administrative support occupations,43,,all,long_tenured,rate_percent,mlr_article,"Administrative support, including clerical",3.8
1993,1991,1992,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,Other precision production occupations,6.4
1993,1991,1992,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,"Machine operators, assemblers, and inspectors",6.7
1993,1991,1992,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Professional specialty,2.4
1993,1991,1992,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Technicians and related support,3.7
1993,1991,1992,2,mlr_table_2_occupation,sales and related occupations,41,,all,long_tenured,rate_percent,mlr_article,Sales occupations,3.6
1993,1991,1992,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Protective services,0.8
1993,1991,1992,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Other service occupations,2.3
1993,1991,1992,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,Transportation and material-moving occupations,4.1
1993,1991,1992,2,mlr_table_2_occupation,transportation and material moving occupations,53,,all,long_tenured,rate_percent,mlr_article,"Handlers, equipment cleaners, helpers, and laborers",4.9
1995,1993,1994,2,mlr_table_2_occupation,construction and extraction occupations,47,,all,long_tenured,rate_percent,mlr_article,Construction trades,2.2
1995,1993,1994,2,mlr_table_2_occupation,"farming, fishing, and forestry occupations",45,,all,long_tenured,rate_percent,mlr_article,"Farming, forestry, and fishing",0.8
1995,1993,1994,2,mlr_table_2_occupation,"installation, maintenance, and repair occupations",49,,all,long_tenured,rate_percent,mlr_article,Mechanics and repairers,3.3
1995,1993,1994,2,mlr_table_2_occupation,"management, business, and financial operations occupations",11|13,,all,long_tenured,rate_percent,mlr_article,"Executive, administrative, and managerial",3.5
1995,1993,1994,2,mlr_table_2_occupation,office and administrative support occupations,43,,all,long_tenured,rate_percent,mlr_article,"Administrative support, including clerical",3.9
1995,1993,1994,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,Other precision production occupations,4.7
1995,1993,1994,2,mlr_table_2_occupation,production occupations,51,,all,long_tenured,rate_percent,mlr_article,"Machine operators, assemblers, and inspectors",5.5
1995,1993,1994,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Professional specialty,2.4
1995,1993,1994,2,mlr_table_2_occupation,professional and related occupations,15|17|19|21|23|25|27|29,,all,long_tenured,rate_percent,mlr_article,Technicians and related support,3.4
1995,1993,1994,2,mlr_table_2_occupation,sales and related occupations,41,,all,long_tenured,rate_percent,mlr_article,Sales occupations,3.4
1995,1993,1994,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Protective services,0.6
1995,1993,1994,2,mlr_table_2_occupation,service occupations,31|33|35|37|39,,all,long_tenured,rate_percent,mlr_article,Other service occupations,2.1
